时刻(小时)	经度	纬度	波高	周期	风速	风向
0	117.7877	38.98557	0.20	5	14	18.2
1	117.7877	38.98557	0.15	7	12	15.6
2	117.7877	38.98557	0.17	8	17	22.1
3	117.7877	38.98557	0.10	4	16	20.8
4	117.7877	38.98557	0.20	6	14	18.2
5	117.7877	38.98557	0.22	4	18	23.4
6	117.7877	38.98557	0.10	8	20	26
7	117.7877	38.98557	0.20	4	14	18.2
8	117.7877	38.98557	0.27	3	22	28.6
9	117.7877	38.98557	0.32	2	23	29.9
10	117.7877	38.98557	0.30	6	15	19.5
11	117.7877	38.98557	0.20	5	14	18.2
12	117.7877	38.98557	0.15	7	12	15.6
13	117.7877	38.98557	0.17	8	17	22.1
14	117.7877	38.98557	0.10	4	16	20.8
15	117.7877	38.98557	0.20	6	14	18.2
16	117.7877	38.98557	0.22	4	18	23.4
17	117.7877	38.98557	0.10	8	20	26
18	117.7877	38.98557	0.20	4	14	18.2
19	117.7877	38.98557	0.27	3	22	28.6
20	117.7877	38.98557	0.32	2	23	29.9
21	117.7877	38.98557	0.30	6	15	19.5
22	117.7877	38.98557	0.15	7	12	15.6
23	117.7877	38.98557	0.17	8	17	22.1
24	117.7877	38.98557	0.10	4	16	20.8
25	117.7877	38.98557	0.20	6	14	18.2
26	117.7877	38.98557	0.22	4	18	27
27	117.7877	38.98557	0.10	8	20	30
28	117.7877	38.98557	0.20	4	14	21
29	117.7877	38.98557	0.22	4	18	27
30	117.7877	38.98557	0.10	8	20	30
31	117.7877	38.98557	0.20	4	14	21
32	117.7877	38.98557	0.27	3	22	33
33	117.7877	38.98557	0.32	2	23	13.8
34	117.7877	38.98557	0.30	6	15	9
35	117.7877	38.98557	0.15	7	12	7.2
36	117.7877	38.98557	0.17	8	17	10.2
37	117.7877	38.98557	0.10	4	16	9.6
38	117.7877	38.98557	0.22	4	18	10.8
39	117.7877	38.98557	0.10	8	20	12
40	117.7877	38.98557	0.20	4	14	8.4
41	117.7877	38.98557	0.27	3	22	13.2
42	117.7877	38.98557	0.32	2	23	13.8
43	117.7877	38.98557	0.30	6	15	9
44	117.7877	38.98557	0.15	7	12	7.2
45	117.7877	38.98557	0.17	8	17	13.6
46	117.7877	38.98557	0.10	4	16	12.8
47	117.7877	38.98557	0.20	4	14	11.2
48	117.7877	38.98557	0.27	3	22	17.6
49	117.7877	38.98557	0.32	2	23	18.4
50	117.7877	38.98557	0.30	6	15	12
51	117.7877	38.98557	0.15	7	12	9.6
52	117.7877	38.98557	0.17	8	17	13.6
53	117.7877	38.98557	0.10	4	16	12.8
54	117.7877	38.98557	0.22	4	18	14.4
55	117.7877	38.98557	0.10	8	20	16
56	117.7877	38.98557	0.20	4	14	11.2
57	117.7877	38.98557	0.27	3	22	17.6
58	117.7877	38.98557	0.32	2	23	18.4
59	117.7877	38.98557	0.30	6	15	12
60	117.7877	38.98557	0.15	7	12	9.6
61	117.7877	38.98557	0.17	8	17	13.6
62	117.7877	38.98557	0.10	4	16	12.8
63	117.7877	38.98557	0.32	2	23	18.4
64	117.7877	38.98557	0.30	6	15	12
65	117.7877	38.98557	0.15	7	12	9.6
66	117.7877	38.98557	0.17	8	17	13.6
67	117.7877	38.98557	0.10	4	16	12.8
68	117.7877	38.98557	0.22	4	18	14.4
69	117.7877	38.98557	0.20	4	14	11.2
70	117.7877	38.98557	0.27	3	22	17.6
71	117.7877	38.98557	0.32	2	23	18.4
72	117.7877	38.98557	0.30	6	15	9
73	117.7877	38.98557	0.15	7	12	7.2
74	117.7877	38.98557	0.17	8	17	10.2
75	117.7877	38.98557	0.10	4	16	9.6
76	117.7877	38.98557	0.32	2	23	13.8
77	117.7877	38.98557	0.30	6	15	9
78	117.7877	38.98557	0.15	7	12	7.2
79	117.7877	38.98557	0.10	8	20	12
80	117.7877	38.98557	0.20	4	14	8.4
81	117.7877	38.98557	0.27	3	22	13.2
82	117.7877	38.98557	0.32	2	23	13.8
