时刻(小时)	经度	纬度	波高	周期	风速	风向
0	117.769	38.97115	0.34	5	14	18.2
1	117.769	38.97115	0.25	7	12	15.6
2	117.769	38.97115	0.30	8	17	22.1
3	117.769	38.97115	0.17	4	16	20.8
4	117.769	38.97115	0.34	6	14	18.2
5	117.769	38.97115	0.38	4	18	23.4
6	117.769	38.97115	0.17	8	20	26
7	117.769	38.97115	0.34	4	14	18.2
8	117.769	38.97115	0.46	3	22	28.6
9	117.769	38.97115	0.55	2	23	29.9
10	117.769	38.97115	0.51	6	15	19.5
11	117.769	38.97115	0.34	5	14	18.2
12	117.769	38.97115	0.25	7	12	15.6
13	117.769	38.97115	0.30	8	17	22.1
14	117.769	38.97115	0.17	4	16	20.8
15	117.769	38.97115	0.34	6	14	18.2
16	117.769	38.97115	0.38	4	18	23.4
17	117.769	38.97115	0.17	8	20	26
18	117.769	38.97115	0.34	4	14	18.2
19	117.769	38.97115	0.46	3	22	28.6
20	117.769	38.97115	0.55	2	23	29.9
21	117.769	38.97115	0.51	6	15	19.5
22	117.769	38.97115	0.25	7	12	15.6
23	117.769	38.97115	0.30	8	17	22.1
24	117.769	38.97115	0.17	4	16	20.8
25	117.769	38.97115	0.34	6	14	18.2
26	117.769	38.97115	0.38	4	18	27
27	117.769	38.97115	0.17	8	20	30
28	117.769	38.97115	0.34	4	14	21
29	117.769	38.97115	0.38	4	18	27
30	117.769	38.97115	0.17	8	20	30
31	117.769	38.97115	0.34	4	14	21
32	117.769	38.97115	0.46	3	22	33
33	117.769	38.97115	0.55	2	23	13.8
34	117.769	38.97115	0.51	6	15	9
35	117.769	38.97115	0.25	7	12	7.2
36	117.769	38.97115	0.30	8	17	10.2
37	117.769	38.97115	0.17	4	16	9.6
38	117.769	38.97115	0.38	4	18	10.8
39	117.769	38.97115	0.17	8	20	12
40	117.769	38.97115	0.34	4	14	8.4
41	117.769	38.97115	0.46	3	22	13.2
42	117.769	38.97115	0.55	2	23	13.8
43	117.769	38.97115	0.51	6	15	9
44	117.769	38.97115	0.25	7	12	7.2
45	117.769	38.97115	0.30	8	17	13.6
46	117.769	38.97115	0.17	4	16	12.8
47	117.769	38.97115	0.34	4	14	11.2
48	117.769	38.97115	0.46	3	22	17.6
49	117.769	38.97115	0.55	2	23	18.4
50	117.769	38.97115	0.51	6	15	12
51	117.769	38.97115	0.25	7	12	9.6
52	117.769	38.97115	0.30	8	17	13.6
53	117.769	38.97115	0.17	4	16	12.8
54	117.769	38.97115	0.38	4	18	14.4
55	117.769	38.97115	0.17	8	20	16
56	117.769	38.97115	0.34	4	14	11.2
57	117.769	38.97115	0.46	3	22	17.6
58	117.769	38.97115	0.55	2	23	18.4
59	117.769	38.97115	0.51	6	15	12
60	117.769	38.97115	0.25	7	12	9.6
61	117.769	38.97115	0.30	8	17	13.6
62	117.769	38.97115	0.17	4	16	12.8
63	117.769	38.97115	0.55	2	23	18.4
64	117.769	38.97115	0.51	6	15	12
65	117.769	38.97115	0.25	7	12	9.6
66	117.769	38.97115	0.30	8	17	13.6
67	117.769	38.97115	0.17	4	16	12.8
68	117.769	38.97115	0.38	4	18	14.4
69	117.769	38.97115	0.34	4	14	11.2
70	117.769	38.97115	0.46	3	22	17.6
71	117.769	38.97115	0.55	2	23	18.4
72	117.769	38.97115	0.51	6	15	9
73	117.769	38.97115	0.25	7	12	7.2
74	117.769	38.97115	0.30	8	17	10.2
75	117.769	38.97115	0.17	4	16	9.6
76	117.769	38.97115	0.55	2	23	13.8
77	117.769	38.97115	0.51	6	15	9
78	117.769	38.97115	0.25	7	12	7.2
79	117.769	38.97115	0.17	8	20	12
80	117.769	38.97115	0.34	4	14	8.4
81	117.769	38.97115	0.46	3	22	13.2
82	117.769	38.97115	0.55	2	23	13.8
83	117.769	38.97115	0.51	6	15	12
84	117.769	38.97115	0.25	7	12	9.6
85	117.769	38.97115	0.30	8	17	13.6
86	117.769	38.97115	0.17	4	16	12.8
87	117.769	38.97115	0.55	2	23	18.4
88	117.769	38.97115	0.51	6	15	12
89	117.769	38.97115	0.25	7	12	9.6
90	117.769	38.97115	0.30	8	17	13.6
91	117.769	38.97115	0.17	4	16	12.8
92	117.769	38.97115	0.38	4	18	14.4
93	117.769	38.97115	0.34	4	14	11.2
94	117.769	38.97115	0.46	3	22	17.6
95	117.769	38.97115	0.55	2	23	18.4
96	117.769	38.97115	0.51	6	15	12
97	117.769	38.97115	0.25	7	12	9.6
98	117.769	38.97115	0.30	8	17	13.6
99	117.769	38.97115	0.17	4	16	12.8
100	117.769	38.97115	0.55	2	23	29.9
101	117.769	38.97115	0.51	6	15	19.5
102	117.769	38.97115	0.25	7	12	15.6
103	117.769	38.97115	0.30	8	17	22.1
104	117.769	38.97115	0.17	4	16	20.8
105	117.769	38.97115	0.55	2	23	29.9
106	117.769	38.97115	0.51	6	15	19.5
107	117.769	38.97115	0.25	7	12	15.6
108	117.769	38.97115	0.30	8	17	22.1
109	117.769	38.97115	0.17	4	16	20.8
110	117.769	38.97115	0.38	4	18	23.4
111	117.769	38.97115	0.34	4	14	18.2
112	117.769	38.97115	0.46	3	22	28.6
113	117.769	38.97115	0.55	2	23	29.9
114	117.769	38.97115	0.51	6	15	19.5
115	117.769	38.97115	0.25	7	12	15.6
116	117.769	38.97115	0.30	8	17	22.1
117	117.769	38.97115	0.17	4	16	20.8
118	117.769	38.97115	0.55	2	23	29.9
119	117.769	38.97115	0.51	6	15	19.5
120	117.769	38.97115	0.25	7	12	15.6
123	117.769	38.97115	0.17	8	20	26
126	117.769	38.97115	0.34	4	14	18.2
129	117.769	38.97115	0.46	3	22	28.6
132	117.769	38.97115	0.38	4	18	23.4
135	117.769	38.97115	0.34	4	14	18.2
138	117.769	38.97115	0.46	3	22	33
141	117.769	38.97115	0.55	2	23	34.5
144	117.769	38.97115	0.51	6	15	22.5
147	117.769	38.97115	0.25	7	12	18
150	117.769	38.97115	0.30	8	17	25.5
153	117.769	38.97115	0.17	4	16	24
156	117.769	38.97115	0.55	2	23	34.5
159	117.769	38.97115	0.51	6	15	9
162	117.769	38.97115	0.25	7	12	7.2
165	117.769	38.97115	0.17	8	20	12
168	117.769	38.97115	0.55	2	23	13.8
171	117.769	38.97115	0.51	6	15	9
174	117.769	38.97115	0.25	7	12	7.2
177	117.769	38.97115	0.30	8	17	10.2
180	117.769	38.97115	0.17	4	16	9.6
183	117.769	38.97115	0.55	2	23	13.8
186	117.769	38.97115	0.51	6	15	9
189	117.769	38.97115	0.25	7	12	7.2
192	117.769	38.97115	0.17	8	20	12
195	117.769	38.97115	0.34	4	14	11.2
198	117.769	38.97115	0.46	3	22	17.6
201	117.769	38.97115	0.38	4	18	14.4
204	117.769	38.97115	0.34	4	14	11.2
207	117.769	38.97115	0.46	3	22	17.6
210	117.769	38.97115	0.55	2	23	18.4
213	117.769	38.97115	0.51	6	15	12
216	117.769	38.97115	0.25	7	12	9.6
219	117.769	38.97115	0.30	8	17	13.6
222	117.769	38.97115	0.17	4	16	12.8
225	117.769	38.97115	0.17	8	20	16
228	117.769	38.97115	0.34	4	14	11.2
231	117.769	38.97115	0.38	4	18	14.4
234	117.769	38.97115	0.17	8	20	16
237	117.769	38.97115	0.34	4	14	11.2
240	117.769	38.97115	0.46	3	22	17.6
252	117.769	38.97115	0.55	2	23	18.4
264	117.769	38.97115	0.51	6	15	12
276	117.769	38.97115	0.25	7	12	9.6
288	117.769	38.97115	0.30	8	17	13.6
312	117.769	38.97115	0.17	4	16	12.8
324	117.769	38.97115	0.38	4	18	14.4
336	117.769	38.97115	0.17	8	20	16
348	117.769	38.97115	0.34	4	14	11.2
360	117.769	38.97115	0.46	3	22	17.6
